sentence,source,id,sentence_count,negation_marker,causal_marker,implicit_vs_explicit,CE,multiple_c_e
"Correlated Standards Health Standards Standard 4: Knows how to maintain mental and emotional health Level III Grade : 6-8 Benchmark 1: Knows strategies to manage stress and feelings caused by disappointment, separation, or loss (e.g., talking over problems with others, understanding that feelings of isolation and depression will pass, examining the situation leading to the feelings) Level IV Grade : 9-12 Benchmark 2: Knows strategies for coping with and overcoming feelings of rejection, social isolation, and other forms of stress McREL: Content Knowledge: A Compendium of Standards and Benchmarks for K-12 Education (Copyright 2000 McREL) is published online by Mid-continent Research for Education and Learning (McREL) (http://www.mcrel.org/standards-benchmarks), 2550 S. Thinking and Reasoning Standards Standard 5: Applies basic trouble-shooting and problem-solving techniques Level III Grade : 6-8 Benchmark 2: Selects the most appropriate strategy or alternative for solving a problem Benchmark 3: Examines different alternatives for resolving local problems and compares the possible consequences of each alternative Level IV Grade : 9-12 Benchmark 6: Represents a problem accurately in terms of resources, constraints and objectives Benchmark 10: Evaluates the feasibility of various solutions to problems; recommends and defends a solution McREL: Content Knowledge: A Compendium of Standards and Benchmarks for K-12 Education (Copyright 2000 McREL) is published online by Mid-continent Research for Education and Learning (McREL) (http://www.mcrel.org/standards-benchmarks), 2550 S. 3 How to have more Sheryl Sandbergs 4 Skin cancer drug reverses Alzheimer's... 5 On main street and the runway, nail... 6 City of Light -- and love 7 Actress' role of a lifetime: Being a..",CauseNet-cause.csv,,2,[],"['caused', 'leading to']",explicit,"[('separation', 'stress'), ('disappointment', 'stress'), ('loss', 'stress')]",Yes
"</span> </td> <td> <span>+ * '''[""ACT Program"" The A.C.T. - For the Children Program]''' program provides divorcing or separating parents with info and strategies to help get through the changes caused by a divorce or separation.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('divorce', 'changes'), ('separation', 'changes')]",Yes
"; Betrayal of the Child: A father's guide to family courts, Stewart Rein; Between the Lines: Nine principles to live by, Orel Hershiser; The Choices of Men: A novel of male power and sexuality in a feminist age, T. S. Tyrone; Dare to Succeed: How to survive and thrive in the game of life, Mark Burnett; Depression is a Choice: Winning the battle without drugs, A. B. Curtiss; The Elder Within: The source of mature masculinity, Terry Jones;Eye Movement Technique for Emotional Healing: The first self-help book to teach readers a powerful clinical method that rapidly reduces distress caused by anxiety and phobia, depression, anger, guilt, life transition, relationship conflicts, job dissatisfaction, and chronic pain, Fred Friedberg; Getting Over Getting Mad: Positive ways to manage anger in your most important relationshiops, Judy Ford; Guide to Surviving Prostate Cancer: Give yourself a second opinion, Dr. Patrick Walsh; If the Buddha Married: Creating enduring relationships on a spiritual path, Charlotte Kasl; Mystics, Masters, Saints and Sages: Stories of enlightenment, Robert Ullman and Judyth Reichenberg-Ullman; Napalm & Silly Putty: Quips, probes, thrusts, screeds, japes, taunts, insults, musings, harangues, verbal ordeals, joy, anger, wonder, confusion, wisdom, hostility, innocence, impudence, reflection, semantic distortion, George Carlin; Nursing Homes: Getting good care there, Sarah Greene Burger, Virginia Fraser, Sara Hunt, Barbara Frank; Once and Future Myths: The power of ancient stories in modern times, Phil Cousineau; One Year Off: Leaving it all behind for a round-the-world journey with our children, David Elliot Cohen; Primary Scripture: Cosmic religion's first lessons, Sylvester L. Steffen; Sissyphobia: Gay men and effeminate behavior, Tim Bergling; Totally Private: Answers to the questions lovers long to ask, Joan Elizabeth Lloyd; Understanding Circumcisoin: A multi-disciplinary approach to a multi-dimensional problem, George C. Denniston, Frederick Mansfield Hodges, Marilyn Fayre Milos; The Way We Pray: Prayer practices from around the world, Maggie Oman Shannon; Why Men Buy Intimacy, Christine DeLorenzo; The Wild Blue: The men and boys who flew the B-24s over Germany, Stephen E.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('anxiety', 'distress'), ('depression', 'distress'), ('phobia', 'distress'), ('guilt', 'distress'), ('anger', 'distress')]",Yes
"In the above third to eleventh preferable embodiments, the treated host or patient may be one afflicted with a disorder caused by infection, particularly cytomegalovirus infection, rheumatoid arthritis, Lyme's arthritis, gout, sepsis syndrome, hyperthermia, ulcerative colitis, enterocolitis, osteoporosis, periodontal disease, glomerulonephritis, chronic non-infectious inflammation of the lung, sarcoidosis, smoker's lung, granuloma formation, fibrosis of the liver, fibrosis of the lung, transplant rejection, graft vs. host disease, chronic myeloid leukemia, acute myeloid leukemia, neoplastic diseases, asthma bronchiale, type I insulin dependent diabetes mellitus, arteriosclerosis, atherosclerosis, psoriasis, chronic B lymphocyte leukaemia, common variable immunodeficiency, disseminated intravascular coagulation, systemic sclerosis, encephalomyelitis, lung inflammation, hyper IgE syndrome, cancer metastasis, cancer growth, adoptive immune therapy, acquired respiratory distress syndrome, sepsis, reperfusion syndrome, postsurgical inflammation, organ transplantation, or alopecia.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('infection', 'disorder'), ('osteoporosis', 'disorder'), ('rheumatoid_arthritis', 'disorder')]",Yes
"Many Acacia spp. form spiny, slow-growing scrub which provides protection against soil erosion caused by wind and rain.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('wind', 'soil_erosion'), ('rain', 'soil_erosion')]",Yes
"The causes of poverty and hunger could be lack of education, the cost of living and low wages, said J.C. Dwyer, director of public policy for the South Texas Food Bank.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('lack_of_education', 'poverty'), ('lack_of_education', 'hunger')]",Yes
* Care Insurance of Chartis Europe S.A. (Bulgaria Branch) is offered exclusively only by the telephone to cardholders of UniCredit Bulbank AD by Chartis Europe S.A. (Bulgaria Branch) and covers daily cash in the case of hospitalization caused by accident or illness as well as permanent full work disability.,CauseNet-cause.csv,,3,[],['caused'],explicit,"[('illness', 'hospitalization'), ('accident', 'hospitalization')]",Yes
"As to the negligence claim, the lawsuit stated that FMC Corp.: 1) had a duty to exercise reasonable care for the safety of Walter and those who worked with or were exposed to the asbestos-containing products, or 2) should have known that exposure would cause disease or death.",CauseNet-cause.csv,,2,['claim'],['cause'],explicit,"[('exposure', 'disease'), ('exposure', 'death')]",Yes
"Even as late as l985, the FDA's own toxicologist, Dr. Adrian Gross, told Congress that aspartame beyond a shadow of a doubt can trigger brain tumors and brain cancer, and that it violated the Delaney Amendment which forbid putting anything in food you know will cause cancer.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('aspartame', 'brain_tumors'), ('aspartame', 'brain_cancer')]",Yes
"Results: The %FMD was significantly impaired in the risk group compared with the control group (4.0 +/- 1.7% vs. FIR thereby promotes epmination of fats, chemicals and toxins from the blood: Poisons, carcinogenic heavy metals - toxic substances from food processing - lactic acid, free fatty acids, and subcutaneous fat associated with aging and fatigue - excess sodium associated with hypertension - and uric acid which causes pain.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('aging', 'pain'), ('uric_acid', 'pain')]",Yes
"""The bottom line is that smoking leads to periodontal (gum) disease, which leads to tooth loss,"" says Dr. ""Smoking causes a chain of events in the mouth that eventually leads to tooth loss.",CauseNet-cause.csv,,2,[],"['leads to', 'leads to', 'causes', 'leads to']",explicit,"[('smoking', 'disease'), ('disease', 'tooth_loss')]",Yes
"More frequently, cases are reported in which occupants of a property suffer injury or illness as a consequence of unknown environmental conditions, such as residue or mold from house products (cleaning products, perfumes, air fresheners etc.) Neither the Manager nor the Owner is qualified to find, detect, or evaluate such environmental conditions that can cause injury or illness.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('environmental_conditions', 'illness'), ('environmental_conditions', 'injury')]",Yes
"City of Lennox v. (5) While this general rule prohibits tort recovery for purely economic losses caused to a defective product itself, it allows recovery in tort when a defective product causes either personal injury or damage to property other than the specific goods that were part of the transaction.",CauseNet-cause.csv,,2,[],"['caused', 'causes']",explicit,"[('defective_product', 'personal_injury'), ('defective_product', 'damage_to_property')]",Yes
"At the time of the paper's publication, PG&E was being sued by residents of Hinkley, Calif. -- in the famous Erin Brockovich case -- for polluting drinking water with hexavalent chromium, which allegedly had caused cancer and other health problems.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('hexavalent_chromium', 'cancer'), ('hexavalent_chromium', 'health_problems')]",Yes
"Orthotics are very sport specific and different sports require different orthotics (ski boots, golf shoes, cycling shoes, skates, tennis sneakers, hiking boots, etc.) Custom-made orthotics can provide relief for many different types of foot pain including heel pain and plantar fasciitis; arch pain; pain caused by bunions, an injury or a sprain; pain caused by running, walking and sports; pain related to diabetes; and pain experienced by senior citizens whose feet change as they grow older.",CauseNet-cause.csv,,2,[],"['caused', 'caused']",explicit,"[('injury', 'pain'), ('sprain', 'pain'), ('bunions', 'pain')]",Yes
"Co. v. Wertz involved an automobile insurance policy which provided coverage for ""bodily injury ... caused by accident resulting from the ownership, maintenance or use of your car ... .""",CauseNet-cause.csv,,3,[],['caused'],explicit,"[('ownership', 'accident'), ('maintenance', 'accident')]",Yes
"'It is well-established that air pollution causes myocardial infarction [heart attack] and stroke,' said Dr. Andrea Baccarelli, who led the study while at the Harvard School of Public Health.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('air_pollution', 'stroke'), ('air_pollution', 'myocardial_infarction')]",Yes
"Allergens (such as pollen, mold spores, pet dander, etc.), irritants (such as dirt, smoke, chlorine, etc.) and even viruses and bacteria can cause conjunctivitis.",CauseNet-cause.csv,,3,[],['cause'],explicit,"[('viruses', 'conjunctivitis'), ('allergens', 'conjunctivitis'), ('irritants', 'conjunctivitis')]",Yes
"On February 15, a second surgery was performed by Dr. Park where it was discovered that the leak had caused peritonitis, sepsis, major organ failure, and shock.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('leak', 'peritonitis'), ('leak', 'sepsis')]",Yes
"Department of Transportation (U.S. DOT) Research and Special Programs Administration, Office of HazardousMaterials Initiatives and Training (DHM-50), Washington, D.C. G-140]**QC REVIEWED** Health: Inhalation, ingestion or contact (skin, eyes) with vapors or substance may cause severe injury, burns, or death.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('ingestion', 'death'), ('contact', 'death'), ('inhalation', 'death'), ('ingestion', 'severe_injury'), ('ingestion', 'burns'), ('contact', 'burns')]",Yes
14 The forensic pathologist who performed the autopsy on the body of Ms. Umphrey testified that death was caused by manual strangulation and then ligature strangulation.,CauseNet-cause.csv,,2,[],['caused'],explicit,"[('manual_strangulation', 'death'), ('ligature_strangulation', 'death')]",Yes
"""Most upper respiratory infections are caused by viruses instead of bacteria,"" says Dr. Craig, ""and viruses most of the time tend to be species specific.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('bacteria', 'upper_respiratory_infections'), ('viruses', 'upper_respiratory_infections')]",Yes
"The first living donor kidney transplant was performed in 2000 and in 2003, St. Luke's physicians performed Milwaukee's first laparoscopic kidney donation, a minimally invasive procedure that causes less pain, less scarring and faster recovery for the kidney donor.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('minimally_invasive_procedure', 'less_pain'), ('minimally_invasive_procedure', 'faster_recovery')]",Yes
"During the International Algae Conference held in Halifax, Nova Scotia and attended by some 300 sea plant experts, it was noted by Dr. Jane Teas of the University of South Carolina that the ingestion of sea plants stimulates the production of a specific enzyme that helps repair body cells and reduces cell damage caused by viruses, pollution, and other free radicals.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('free_radicals', 'cell_damage'), ('viruses', 'cell_damage')]",Yes
"--- Simon, oldest son of Christian and Fanny (Roth) Wyse, was born Jan. 30, 1867, on a farm south of Wayland, Iowa; departed from this life at the Mercy Hospital, Burlington, Iowa, Feb. 23, 1950; aged 83 y 24 d. Death was caused by a heart ailment and complications.",CauseNet-cause.csv,,3,[],['caused'],explicit,"[('complications', 'death'), ('heart_ailment', 'death')]",Yes
"His litigation practice concentrates on representing insurance carriers, self-insured employers and third-party administrators defending claims for occupationally induced cardiopulmonary (silicosis, pneumoconiosis, asbestosis, industrial bronchitis, cor pulmonale, etc.) and other diseases, disorders caused by chemical and other toxic exposures, traumatic (orthopedic/musculoskeletal/neurologic) injuries, psychoses and work-related stress, occupational hearing loss and other industrial conditions.",CauseNet-cause.csv,,2,['claims'],['caused'],explicit,"[('injuries', 'disorders'), ('chemical', 'disorders')]",Yes
"In the early hours on Jan. 12, heavy rains caused mudslides and flooding that have killed at least 40... aid=13757Tue, 04 Jan 2011 00:00:00 GMT<img src=""http://www.hws.edu/dailyUpdate/Resources/Res13397.jpg"" alt="""" /> William Smith Soccer Head Coach Aliceann Wilber P'13 appears in the latest edition of Sports Illustrated in Faces in the Crowd, which hit newsstands on Thursday, Dec.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('heavy_rains', 'flooding'), ('heavy_rains', 'mudslides')]",Yes
"From Dr. Betty Martini: ""In Dr. Roberts first book he mentions that Acesulfame potassium caused cancer and leukemia in original studies.",CauseNet-cause.csv,,3,[],['caused'],explicit,"[('acesulfame_potassium', 'cancer'), ('acesulfame_potassium', 'leukemia_in_original_studies')]",Yes
"As Dr. Link explains, the varicella zoster virus causes both chickenpox and herpes zoster (shingles).",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('varicella_zoster_virus', 'herpes_zoster'), ('varicella_zoster_virus', 'chickenpox')]",Yes
"Over 1400 participants gathered at the Royal Horticultural Hall in London for a full 10 hours of talks on what was deemed ""the central problem in world politics today"", namely the crisis caused by the invasion and occupation of Iraq, with speakers from the U.S., the U.K. and Iraq, the three countries most involved.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('occupation_of_iraq', 'crisis'), ('invasion', 'crisis')]",Yes
"WHO list a list of WATERBORNE DISEASES that kill people all over the world: diarrheal disease, Hepatitis A, Cholera, Botulism, Typhoid, Dysentery, Cryptosporidiosis, Polio, etc. those diseases can be caused by protozoa, viruses, bacteria, and intestinal parasites Distillation - distillation is the process of heating the water until it boils, capturing and cooling the resultant hot vapors, and collecting the condensed vapors.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('bacteria', 'diseases'), ('viruses', 'diseases'), ('protozoa', 'diseases')]",Yes
"It turns out that this same Iodine is the key to breast cancer prevention as proposed by the following list of prestigious doctors: Guy Abraham, MD, Robert Derry MD PHD, David Brownstein MD, George Flechas MD, Donald Miller, M.D. Eskin published 80 papers over 30 years researching iodine and breast cancer, and he reports that iodine deficiency causes breast cancer and thyroid cancer in humans and animals.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('iodine_deficiency', 'thyroid_cancer'), ('iodine_deficiency', 'breast_cancer')]",Yes
Wound Dr. treats and protects small wounds and stings; relieves pain caused by skin conditions and minor injuries; prevents infection of wounds and cuts on the skin;...,CauseNet-cause.csv,,2,[],['caused'],explicit,"[('minor_injuries', 'pain'), ('skin_conditions', 'pain')]",Yes
"SEE: I'm objecting to Dr. Healy testifying 3 about any area except general causation; that is, 4 whether Prozac causes suicide or homicide in people 5 and specific causation, whether Prozac caused suicide 6 and homicide in Bill Forsyth.",CauseNet-cause.csv,,2,[],"['causation', 'causes', 'causation', 'caused']",explicit,"[('prozac', 'suicide'), ('prozac', 'homicide')]",Yes
"Buck Creek Coal, Inc. v. I find that the violation was reasonably likely to result in a fire or the propagation of a fire causing death or serious injuries.",CauseNet-cause.csv,,2,[],['result in'],explicit,"[('fire', 'death'), ('fire', 'serious_injuries')]",Yes
"In Congress in 1985, FDA toxicologist, the late Dr. Adrian Gross, said that since aspartame caused brain tumors and brain cancer it violates the Delaney Amendment which forbids anything being put in food that causes cancer.",CauseNet-cause.csv,,2,[],"['since', 'caused', 'causes']",explicit,"[('aspartame', 'brain_tumors'), ('aspartame', 'brain_cancer')]",Yes
"*Trivia: ""A federal judge on Thursday [03/10/05] dismissed a lawsuit alleging that U.S. chemical companies, including Monsanto Co. of Creve Coeur, Mo., committed war crimes against 4 million Vietnamese citizens by making Agent Orange, the defoliant that allegedly caused birth defects, miscarriages and cancer.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('defoliant', 'cancer'), ('defoliant', 'birth_defects')]",Yes
"The method according to claim 12 wherein said patient is afflicted with a disorder caused by infection, rheumatoid arthritis, Lyme's arthritis, gout, sepsis syndrome, hyperthermia, ulcerative colitis, enterocolitis, osteoporosis, cytomegalovirus, periodontal disease, glomerulonephritis, chronic non-infectious inflammation of the lung, sarcoidosis, smoker's lung, granuloma formation, fibrosis of the liver, fibrosis of the lung, transplant rejection, graft vs. host disease, chronic myeloid leukemia, acute myeloid leukemia, neoplastic diseases, asthma bronchiale, type I insulin dependent diabetes mellitus, arteriosclerosis, atherosclerosis, psoriasis, chronic B lymphocyte leukaemia, common variable immunodeficiency, disseminated intravascular coagulation, systemic sclerosis, encephalomyelitis, lung inflammation, hyper IgE syndrome, cancer metastasis, cancer growth, adoptive immune therapy, acquired respiratory distress syndrome, sepsis, reperfusion syndrome, postsurgical inflammation, organ transplantation, or alopecia.",CauseNet-cause.csv,,2,['claim'],['caused'],explicit,"[('infection', 'disorder'), ('osteoporosis', 'disorder'), ('rheumatoid_arthritis', 'disorder')]",Yes
"Motherplants Ltd. cannot be held responsible for poor planting conditions, damage caused by severe weather such as drought, frost and wind, or damage from pest and disease after the plants have left the nursery.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('damage', 'damage'), ('severe_weather', 'damage')]",Yes
"I have been reading the book, Healing Psoriasis, by Dr. Basically, he believes that Psoriasis and Eczema is caused by toxins that are escaping into the blood from the intestinal tract.",CauseNet-cause.csv,,2,['believes'],['caused'],explicit,"[('toxins', 'eczema'), ('toxins', 'psoriasis')]",Yes
"Florida adopted Restatement section 402A in West v. Caterpillar Tractor Co. [83] There, the Florida Supreme Court stated that strict products liability should be imposed against manufacturers only when a plaintiff establishes the manufacturer's relationship to the product, the product's defective and unreasonably dangerous condition, and that this condition proximately caused the injury or damage.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('condition', 'injury'), ('condition', 'damage')]",Yes
"This loss has been caused by habitat destruction, natural and human-induced changes in streamflows, urban development and related land-use practices, and the introduction of nonnative competitors and predators (Moyle et al. 1995; Swift et al.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('urban_development', 'loss'), ('habitat_destruction', 'loss')]",Yes
coli O157:H7 in acidified (pH 5.00) beef slurry heated at 54 degrees C.( ABSTRACT TRUNCATED AT 250 WORDS) An outbreak of diarrhea and hemolytic uremic syndrome from Escherichia coli O157:H7 in fresh-pressed apple cider; Besser RE et al. ; OBJECTIVE--Escherichia coli O157:H7 causes hemorrhagic colitis and the hemolytic uremic syndrome .,CauseNet-cause.csv,,3,[],['causes'],explicit,"[('h7', 'hemolytic_uremic_syndrome'), ('h7', 'hemorrhagic_colitis')]",Yes
"For nearly a decade, the British General Medical Council (GMC), the equivalent of a U.S State Medical Board on steroids, has been taking Dr. Andrew Wakefield to task for daring to suggest that autism could be caused by the measles, mumps and rubella (MMR) vaccine.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('vaccine', 'autism'), ('measles', 'autism'), ('mumps', 'autism')]",Yes
"His condition causes hearing and vision loss, mental retardation, and neuromuscular problems. . . .",CauseNet-cause.csv,,4,[],['causes'],explicit,"[('condition', 'vision_loss'), ('condition', 'mental_retardation')]",Yes
"Miss Susan E. Wescott died Monday, January 15, 1917, at the home of her niece, Mrs. Joshua Rowland in Grant precinct, after an illness of two weeks, the immediate cause of her death being heart failure resulting from her illness.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('heart_failure', 'death'), ('illness', 'heart_failure')]",Yes
"Lead poisoning in children, even at low levels, can cause developmental problems, learning disabilities, impaired hearing and behavioral problems,"" said Dr. ""But lead can also cause problems for adults, such as nerve disorders, muscle and joint pain, irritability, memory problems, and increased blood pressure.",CauseNet-cause.csv,,2,[],"['cause', 'cause']",explicit,"[('lead_poisoning', 'behavioral_problems'), ('lead', 'problems'), ('lead_poisoning', 'impaired_hearing')]",Yes
"Skeptic Dr. Aaron Sakulich reviewed the report made by Michalak to police shortly after the incident, along with other evidence, and concluded that Michalak was indeed burned but that the burns were in fact likely caused by an accident brought on by alcohol consumption, and that Michalak, who was prospecting for silver ore near the lake at the time, probably made the story up to keep other prospectors out of the area.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('accident', 'burns'), ('alcohol_consumption', 'accident')]",Yes
"Description: Tampa, Florida law firm, Contact Morgenstern & Herd, P.A. handles cases related to medical malpractice, auto accidents, motorcycle accidents, drunk driving accident injuries, wrongful death, injuries caused by defective products, cruise passenger injuries, Jones act, crewmember injuries, premises liability and slip and fall injuries, dog bites, and the like.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('defective_products', 'injuries'), ('slip', 'injuries'), ('premises_liability', 'injuries')]",Yes
"Campylobacter jejuni binds intestinal H(O) antigen (Fuc alpha 1, 2Gal beta 1, 4GlcNAc), and fucosyloligosaccharides of human milk inhibit its binding and infection; Ruiz-Palacios GM et al. ; The most common cause of infant mortality is diarrhea; the most common cause of bacterial diarrhea is Campylobacter jejuni, which is also the primary cause of motor neuron paralysis .",CauseNet-cause.csv,,2,[],"['cause', 'cause', 'cause']",explicit,"[('campylobacter_jejuni', 'bacterial_diarrhea'), ('diarrhea', 'infant_mortality')]",Yes
"TruTech Inc. and Skunk Removal of Jacksonville Florida is a full-service Skunk Removal Company that will assist you with problems caused by Skunks, Snakes, Squirrles, Raccoons, Birds, Fox, Skunks, Deer, Geese, Groundhogs, Opossums, Rabbits, Chipmunks and more.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('deer', 'problems'), ('geese', 'problems'), ('birds', 'problems'), ('raccoons', 'problems'), ('snakes', 'problems'), ('rabbits', 'problems'), ('skunks', 'problems'), ('groundhogs', 'problems'), ('chipmunks', 'problems')]",Yes
"People Inc.'s Seniors Unlimited is a unique social day program for individuals who have dementia or Alzheimer's which may have been caused by Alzheimer's or Parkinson's disease, strokes, heart disease or any other illness.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[(""parkinson_'s_disease"", 'dementia'), (""alzheimer_'s"", 'dementia')]",Yes
"In commercial properties, arson is the major cause of deaths, injuries, money loss and e.t.c. See statistics at ; United States Fire Administration at (www.usfa.fema.gov) September 11/2001 terrorist attack is excluded in the research.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('arson', 'deaths'), ('arson', 'injuries')]",Yes
"As you are aware, these severe storms brought damaging winds, tornadoes and hail in nine counties and the City of St. These storms caused five deaths and several storm-related injuries.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('severe_storms', 'tornadoes'), ('severe_storms', 'hail'), ('severe_storms', 'damaging_winds')]",Yes
"In the SSS Islands (Saba, St. Eustatius, and Sint Maarten) strong winds from Omar, gusting up to , and high waves caused significant damage and coastal flooding.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('strong_winds', 'coastal_flooding'), ('strong_winds', 'significant_damage')]",Yes
"Indigestion, low metabolism, low temperature, melancholy, pain caused by stress and tension, insomnia, anxiety, fear, panic attacks, stomach distension, vertigo, hiatus hernia, benign tumours, cold bile disease, joint pains, arthritis, bone deformation, joint inflammation, superficial fever (empty fever), post-menopause syndrome and nerve inflammation (sciatic nerve, neurological disorders, etc.).",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('arthritis', 'pain'), ('stress', 'pain'), ('tension', 'pain'), ('anxiety', 'pain'), ('fear', 'pain'), ('joint_inflammation', 'pain'), ('insomnia', 'pain'), ('nerve_inflammation', 'pain'), ('hiatus_hernia', 'pain'), ('joint_pains', 'pain')]",Yes
"What are your thoughts on Denavir vs. About 75,000 women die really of unveiled abortions and debilitating 75,000 of brain and beet damage in exploration, a disorder that can cause high blood pressure and convulsions late in registrar.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('disorder', 'high_blood_pressure'), ('disorder', 'convulsions')]",Yes
"What did Dr. Soffritti of the Ramazzini Institute in Italy find but that aspartame is a multipotential carcinogen and causes lymphoma and leukemia, but many others as well.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('aspartame', 'leukemia'), ('aspartame', 'lymphoma')]",Yes
"First, over 70% of the bad bacteria and viruses, called pathogens, that can make you sick, enter the body though the mouth and end up in the G.I. Left unchecked, these pathogens can cause upset stomach, diarrhea, dehydration, fever and even more serious conditions.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('pathogens', 'diarrhea'), ('pathogens', 'dehydration')]",Yes
"Likewise, although according to some transport law Conventions the carrier loses the benefit of the limits of liability if the damage was caused by its ""wilful misconduct or by such default on its part as, in accordance with the law of the court ... seized of the case, is considered as equivalent to wilful misconduct"" (Art. 25 of the 1929 Warsaw Convention for the Unification of Certain Rules relating to International Carriage by Air; Art. 29 (1) of the 1956 Convention on the Contract for the International Carriage of Goods by Road (CMR), in others, the carrier loses the benefit if the damage resulted from its act or omission ""done with the intent to cause such ... damage ... or recklessly and with knowledge that such ... damage ... would probably result"" (Art. 25 of the 1929 Warsaw Convention as amended by the 1955 Hague Protocol; Art. 8 of the Hamburg Rules).",CauseNet-cause.csv,,5,[],"['caused', 'cause']",explicit,"[('wilful_misconduct', 'damage'), ('act_or_omission', 'damage')]",Yes
"Opponents to the Fairness in Nursing Home Arbitration Act of 2008 (S. 2838) oppose restoring the legal rights of elderly nursing home residents, and their families, to sue nursing home facilities for the abuse and neglect that causes serious injuries, and even deaths, to innocent people.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('neglect', 'serious_injuries'), ('abuse', 'serious_injuries')]",Yes
"Chronic kidney disease can be caused by trauma, congenital abnormalities, chronic urinary tract obstruction or infection, kidney stones, polycystic kidney disease, exposure to toxins (drugs, plants, venom, chemicals), lymphoma, and a number of kidney-specific disorders that your veterinarian can discuss with you if they pertain to your pet (glomerulonephritis, pyelonephritis, tubulonephrosis, amyloidosis, tubulointerstitial nephritis, etc.).",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('kidney_stones', 'chronic_kidney_disease'), ('polycystic_kidney_disease', 'chronic_kidney_disease')]",Yes
"Ma huang (ephedra)May cause high blood pressure, increased heart rate, or death if used with beta-blockers (drugs used for high blood pressure and heart conditions), monoamine oxidase inhibitors (antidepressants), caffeine, and St. YohimbeReduces the effect of St. John's wort and drugs for depression, high blood pressure, and high blood sugar.",CauseNet-cause.csv,,3,[],['cause'],explicit,"[('ma_huang', 'death'), ('ma_huang', 'high_blood_pressure')]",Yes
"It is an inflammation caused by stress and friction, usually caused by too much weight in a session, or too many forced reps. This pain lingers on because the muscle involved is constantly being used.",CauseNet-cause.csv,,2,[],"['caused', 'caused', 'because']",explicit,"[('stress', 'inflammation'), ('friction', 'inflammation')]",Yes
"Grief has been defined as : intense emotional suffering caused by loss, disaster, misfortune, etc.; acute sorrow; deep sadness, and being human it is certainly an emotion that will be felt by each and every one of us at different times during our lifetime.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('disaster', 'intense_emotional_suffering'), ('misfortune', 'intense_emotional_suffering')]",Yes
"""Heart disease is a leading cause of illness, disability and death in industrialized countries, particularly for older people,"" says National Institute on Aging (NIA) Director Richard J. ""We know that certain lifestyle factors like smoking, diet and physical activity greatly affect a person's lipid profiles.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('heart_disease', 'disability'), ('heart_disease', 'illness')]",Yes
"If C.D.W. is declined, hirer accepts full responsibility for any loss or damage to the vehicle caused by accident, fire or theft, regardless of who is at fault.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('accident', 'damage_to_the_vehicle'), ('fire', 'damage_to_the_vehicle'), ('theft', 'damage_to_the_vehicle')]",Yes
"""Cardiovascular disease continues to be the leading cause of death, hospitalization, and disability - locally and nationally,"" says Dr. Andrew Pipe, chair of the CCPN and Chief of the Division of Prevention and Rehabilitation at the University of Ottawa Heart Institute.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('cardiovascular_disease', 'death'), ('cardiovascular_disease', 'disability'), ('cardiovascular_disease', 'hospitalization')]",Yes
